Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.27011062726378443,0.23205034732818602,tensor(0.4616),2222.1460681152344,1780.9370972900392,0.4450965627133846,0.3823094845414161,0.19859057276657688
2,0.013859835430048406,0.012981542572379112,tensor(0.0481),2222.1460681152344,1856.040005126953,0.4450965627133846,0.37465556222200397,0.1647877759336797
4,0.012853042338974774,0.012951033003628255,tensor(0.0468),2222.1460681152344,1855.9373991699217,0.4450965627133846,0.3759456094354391,0.16483410767108195
6,0.012816351163201034,0.012920141778886318,tensor(0.0474),2222.1460681152344,1854.2315982666016,0.4450965627133846,0.3779754162579775,0.16560199140227413
8,0.01275487409438938,0.012860741931945086,tensor(0.0488),2222.1460681152344,1847.4498502197268,0.4450965627133846,0.3808779605031013,0.16865548959297702
10,0.01265885578468442,0.012775183096528054,tensor(0.0512),2222.1460681152344,1831.7912478027345,0.4450965627133846,0.38320746453851456,0.17570487465380893
12,0.012590721808373928,0.012733491137623787,tensor(0.0529),2222.1460681152344,1820.3635825195313,0.4450965627133846,0.3836699601635337,0.18084814431316482
14,0.012555811740458011,0.012714831624180079,tensor(0.0536),2222.1460681152344,1813.435805786133,0.4450965627133846,0.3836819690391421,0.18396567592550062
16,0.012527141673490404,0.012703095097094774,tensor(0.0537),2222.1460681152344,1808.270020385742,0.4450965627133846,0.3835818665921688,0.18629014071793287
18,0.012504038400948048,0.012695904821157455,tensor(0.0538),2222.1460681152344,1803.9373900146486,0.4450965627133846,0.3834591225832701,0.18823953563551737
20,0.012483693961985409,0.012691393401473761,tensor(0.0542),2222.1460681152344,1800.4771267089843,0.4450965627133846,0.38333879695832723,0.1897963186738301
