Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.26915367916226385,0.22793988585472108,tensor(0.4635),2135.819739135742,1560.669814819336,0.5068358267769218,0.3779275990948081,0.26926834835355323
5,0.009886453533545137,0.009718022495508193,tensor(0.0446),2135.819739135742,1432.4363817749022,0.5068358267769218,0.3237918429598213,0.32930073397972487
10,0.009748767095152289,0.009618906397372484,tensor(0.0461),2135.819739135742,1459.444221496582,0.5068358267769218,0.3338911458924413,0.3166624354387926
15,0.009685210220050066,0.009569527208805084,tensor(0.0468),2135.819739135742,1471.5778233642577,0.5068358267769218,0.33877262681722636,0.3109787757919182
20,0.009612752147950232,0.009524045512080193,tensor(0.0479),2135.819739135742,1493.4602928466795,0.5068358267769218,0.34943144086748357,0.3007354539954573
25,0.00955422418192029,0.009465697500854731,tensor(0.0488),2135.819739135742,1508.536937927246,0.5068358267769218,0.3555168977156281,0.2936818776260622
30,0.00949693339644,0.009416928980499506,tensor(0.0491),2135.819739135742,1519.149705383301,0.5068358267769218,0.36030403331667193,0.2887143840867493
35,0.009453699365258217,0.009391113929450513,tensor(0.0497),2135.819739135742,1518.682182434082,0.5068358267769218,0.3607662124559284,0.2889318680027884
40,0.009401170001365245,0.009347027260810136,tensor(0.0497),2135.819739135742,1521.5884196166992,0.5068358267769218,0.36190104092657566,0.28757157814300666
45,0.009330602025147527,0.009295126702636481,tensor(0.0502),2135.819739135742,1522.5981461181639,0.5068358267769218,0.36246823716908694,0.28709780956470954
50,0.00926371654495597,0.009250407945364714,tensor(0.0501),2135.819739135742,1522.4426439819338,0.5068358267769218,0.3624711505174637,0.28717104142163763
