Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.08947228863835335,0.10493114143610001,tensor(0.2197),2283.7316197509763,1308.9077387695313,0.5414054582864047,0.38854120995104313,0.42684303899758014
5,0.08015096429735422,0.08023681566119194,tensor(0.1966),2283.731619750977,1599.8981575927733,0.5414054582864045,0.42342088325321675,0.2994135848806222
10,0.07957098372280598,0.07958069220185279,tensor(0.1954),2283.7316197509763,1620.1670994873045,0.5414054582864046,0.4331317615956068,0.2904917395120322
15,0.07927331551909447,0.07924656793475152,tensor(0.1942),2283.7316197509767,1630.0383312988283,0.5414054582864045,0.4399820235371591,0.28623227477010393
20,0.07907535023987293,0.07902114242315292,tensor(0.1938),2283.7316197509763,1637.824008911133,0.5414054582864046,0.44375582818686965,0.2828141194301338
