Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.27271071299910543,0.22000893354415893,tensor(0.4509),2304.7567259521484,1740.1404046630857,0.42355757148563855,0.3969954376220703,0.2449744173385991
5,0.005392303306143731,0.005212297383695841,tensor(0.0340),2304.7567259521484,1611.2735799560546,0.42355757148563855,0.40385370047390456,0.3008873507781136
10,0.005351674812845886,0.005178786185570061,tensor(0.0320),2304.7567259521484,1622.3092412109377,0.42355757148563855,0.4039310941398144,0.2960991201577091
15,0.005336860613897443,0.005166492098942399,tensor(0.0320),2304.7567259521484,1644.6190611572263,0.42355757148563855,0.40323934823274615,0.2864192195742899
20,0.005321319063659758,0.00515346359461546,tensor(0.0324),2304.7567259521484,1666.6915793457033,0.42355757148563855,0.40227331227064134,0.2768421949953387
25,0.005304291122592985,0.0051415234338492155,tensor(0.0329),2304.7567259521484,1696.3951688232423,0.42355757148563855,0.40060625921189785,0.2639540886402397
30,0.005289042554795742,0.0051312388619408015,tensor(0.0333),2304.7567259521484,1721.4569547119142,0.42355757148563855,0.3989977334439755,0.253079861282565
35,0.005275554297259078,0.005122643080540001,tensor(0.0337),2304.7567259521484,1735.5872014160154,0.42355757148563855,0.39807657161355015,0.2469486825989439
40,0.005262199183925986,0.005113612511195242,tensor(0.0338),2304.7567259521484,1735.900893432617,0.42355757148563855,0.39824940460920344,0.24681222613329123
45,0.005245911539532244,0.005109481932595372,tensor(0.0343),2304.7567259521484,1748.8546820068361,0.42355757148563855,0.397436679571867,0.24119131657541618
50,0.005227240768726915,0.005096820881590247,tensor(0.0340),2304.7567259521484,1740.5587861328124,0.42355757148563855,0.3981769757866859,0.24479114558295517
