Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.2376568026840687,0.1992673471570015,tensor(0.4214),959.438333129883,719.7042866210937,0.6076617125123739,0.4895012202858925,0.24966335569070122
5,0.030407886626198886,0.03079598993062973,tensor(0.1161),959.438333129883,699.3126172790528,0.6076617125123739,0.47321347652375706,0.27090665826766724
10,0.028831696743145584,0.02921276893466711,tensor(0.1157),959.438333129883,700.8871954345705,0.6076617125123739,0.47719184751808646,0.2692821238040423
15,0.02707744771614671,0.027393186651170253,tensor(0.1114),959.438333129883,700.4691766662597,0.6076617125123739,0.47791983410716055,0.2697225417299365
20,0.025023617362603546,0.025291134230792524,tensor(0.1066),959.438333129883,700.0449102630614,0.6076617125123739,0.4775648998171091,0.2701617608089234
25,0.02375079211778939,0.02412623558193445,tensor(0.1022),959.438333129883,698.59687600708,0.6076617125123739,0.47661035199463375,0.2716675538476321
30,0.023075015377253295,0.023633082024753095,tensor(0.1001),959.438333129883,698.317188430786,0.6076617125123739,0.4764232075363398,0.271958302661126
35,0.022682213876396417,0.02334175109863281,tensor(0.0998),959.438333129883,698.6200732421875,0.6076617125123739,0.47687363120913495,0.2716476108168132
40,0.0224110746756196,0.023188227973878383,tensor(0.1008),959.438333129883,699.0361043090821,0.6076617125123739,0.47747915044426914,0.27121296650984356
45,0.022213391307741404,0.02300514131784439,tensor(0.0983),959.438333129883,699.1658811798096,0.6076617125123739,0.4776556310951709,0.27107981333670766
50,0.022073998767882585,0.022944680973887445,tensor(0.0970),959.438333129883,698.7665125122071,0.6076617125123739,0.4774287489950657,0.27149743601303084
