Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.26975221931934357,0.22825874537229537,tensor(0.4637),2209.739805175781,1496.675796142578,0.662770266905427,0.40542843444645404,0.3226976823479924
5,0.010755976801738143,0.010880413185805082,tensor(0.0468),2209.739805175781,1358.5363171997071,0.662770266905427,0.3362233204469085,0.3852026606333573
10,0.010599768115207553,0.01074456088244915,tensor(0.0482),2209.739805175781,1381.2030009765624,0.662770266905427,0.348187663026154,0.37494700133254094
15,0.010522960987873375,0.010677072871476411,tensor(0.0491),2209.739805175781,1397.8380698852538,0.662770266905427,0.35626219119876623,0.36742250080863004
20,0.010462656524032355,0.010627190954983235,tensor(0.0499),2209.739805175781,1413.160851196289,0.662770266905427,0.3645653678327799,0.3604885770823994
25,0.01041770747397095,0.010588037874549627,tensor(0.0507),2209.739805175781,1425.3442456665039,0.662770266905427,0.3702404988259077,0.3549745553454029
30,0.01038362430408597,0.010564852226525544,tensor(0.0510),2209.739805175781,1437.5467308959962,0.662770266905427,0.3757586110755802,0.34945308195457125
35,0.01034712204709649,0.010529828071594239,tensor(0.0514),2209.739805175781,1444.0581000976563,0.662770266905427,0.3788977752476931,0.34650664119393454
40,0.010316548380069434,0.010501523595303297,tensor(0.0521),2209.739805175781,1447.7983601074222,0.662770266905427,0.3807982593849301,0.344814871768897
45,0.010288998810574412,0.010476373136043549,tensor(0.0522),2209.739805175781,1447.0399046630857,0.662770266905427,0.3819731231853366,0.3451583905741161
50,0.010259660077281296,0.010453279130160809,tensor(0.0523),2209.739805175781,1447.5263356933594,0.662770266905427,0.38401170455664396,0.34493813667225753
