Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.05828561512753368,0.0692568801343441,tensor(0.1861),992.706457702637,758.9981750183105,0.6583616446852685,0.49319033733010303,0.23531559745222275
5,0.0423746082931757,0.04312252104282379,tensor(0.1598),992.7064577026367,874.4493555908202,0.6583616446852684,0.5581075545400381,0.11904209846912303
10,0.03954587280750275,0.03988160528242588,tensor(0.1500),992.7064577026367,911.8322861938475,0.6583616446852684,0.5942303985506296,0.08142556855028987
15,0.03874412775039673,0.0389812208712101,tensor(0.1469),992.7064577026367,919.260966369629,0.6583616446852684,0.6022447384148836,0.07391910576890057
20,0.038226394541561605,0.038435835763812064,tensor(0.1455),992.7064577026367,921.3792941284179,0.6583616446852684,0.6054072937071323,0.07174168994941346
