Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.2942145671695471,0.09292271509766578,tensor(0.2451),2209.7397617187503,1488.823961364746,0.6627701199203729,0.3812436286956072,0.3262308546978838
5,0.03398935589939356,0.03372317999601364,tensor(0.1092),2209.7397617187503,1640.4945830078127,0.662770119920373,0.4074389566183091,0.2575849707846382
10,0.033544170670211315,0.0333248570561409,tensor(0.1088),2209.73976171875,1644.1712316894532,0.662770119920373,0.4160202790796757,0.25595217191449915
15,0.033354583010077474,0.033133839070796964,tensor(0.1076),2209.73976171875,1653.038138427734,0.6627701199203729,0.41849914535135024,0.2519340059067955
20,0.03322259718552232,0.03299382738769054,tensor(0.1079),2209.73976171875,1648.6106058349608,0.662770119920373,0.418442722029984,0.25391972671695395
25,0.03310069525614381,0.0328717365860939,tensor(0.1068),2209.73976171875,1656.920960083008,0.662770119920373,0.4205988956317306,0.2501912241244627
30,0.03300681272521615,0.032783322408795355,tensor(0.1074),2209.73976171875,1652.0063985595702,0.662770119920373,0.4239013717547059,0.252424395619255
35,0.03293719096109271,0.032722436264157294,tensor(0.1063),2209.73976171875,1660.407549194336,0.662770119920373,0.42001147862523797,0.24859998198127262
40,0.03287624726071954,0.0326575119048357,tensor(0.1074),2209.73976171875,1653.0102712402345,0.662770119920373,0.42365353305637843,0.2519476245735821
45,0.03281896179541945,0.032603106647729876,tensor(0.1067),2209.7397617187503,1656.7366995849611,0.662770119920373,0.42150193275511266,0.25025050781542146
50,0.032774817943572995,0.03254869058728218,tensor(0.1060),2209.7397617187503,1661.6912499999999,0.6627701199203729,0.42010859204083684,0.24800056378049956
55,0.03273213002830744,0.032505253702402113,tensor(0.1056),2209.73976171875,1665.4158886718749,0.662770119920373,0.42274985106289387,0.2463165266070671
60,0.03268330711871385,0.0324449609965086,tensor(0.1063),2209.73976171875,1715.3947553710939,0.6627701199203729,0.42175915667414665,0.22371954326726368
65,0.031597122084349394,0.0313503110781312,tensor(0.1030),2209.73976171875,1927.5911442871093,0.6627701199203728,0.4841254298239946,0.1276688335391662
70,0.03154721069149673,0.03132011406123638,tensor(0.1031),2209.7397617187503,1929.397853515625,0.662770119920373,0.48186077398061755,0.12685965955630024
75,0.03151792329736054,0.03128694165498018,tensor(0.1035),2209.73976171875,1927.6225870361327,0.6627701199203729,0.48729254354536533,0.12763981825352425
80,0.03149168770760298,0.03126520197838545,tensor(0.1022),2209.73976171875,1936.319783691406,0.6627701199203729,0.481784194290638,0.12375027169012706
85,0.03147976133041084,0.03124698270112276,tensor(0.1031),2209.73976171875,1931.5261104736333,0.662770119920373,0.48849642945826055,0.125921438000484
90,0.031459204060956834,0.031226015649735928,tensor(0.1029),2209.73976171875,1931.558942260742,0.6627701199203729,0.48510769981145857,0.12590226355573858
95,0.03144741174764931,0.03122057095170021,tensor(0.1029),2209.73976171875,1935.9667603759765,0.662770119920373,0.48884130772948275,0.12389336426770592
100,0.03143253210000694,0.03120533060282469,tensor(0.1028),2209.73976171875,1931.8260029296878,0.6627701199203729,0.4865394528210163,0.12576607180194183
