Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.02035812963731587,0.028358367271721363,tensor(0.1066),1904.9708341064452,812.5890459594727,0.819807161897421,0.37507657130807637,0.5734463376898769
5,0.015196156525053083,0.015281197428703309,tensor(0.0698),1904.9708341064452,1267.4192991943357,0.819807161897421,0.38745145586133,0.33470481514966516
10,0.014384950348176061,0.0144299509935081,tensor(0.0666),1904.9708341064456,1293.2869188232423,0.8198071618974208,0.4001953019276262,0.3211140521247299
15,0.013873798679560423,0.013894741982221603,tensor(0.0645),1904.9708341064456,1313.0742167968754,0.8198071618974208,0.4184580285698175,0.31073714140623593
20,0.013554532802663744,0.013559193536639213,tensor(0.0624),1904.9708341064456,1335.8347080078124,0.819807161897421,0.43446958155930043,0.29876436632564884
