Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.010222177290254169,0.02011859267950058,tensor(0.1054),2639.8367961425784,2166.592971191406,0.3427809640467167,0.31076553887128827,0.17926608197408095
5,0.005448159916947286,0.005538913048803806,tensor(0.0449),2639.836796142578,2575.316994140625,0.34278096404671665,0.3160182270109654,0.024449429368541654
10,0.00524771853039662,0.005327711440622806,tensor(0.0434),2639.8367961425784,2602.91162890625,0.3427809640467167,0.3276237795203924,0.013967552269721961
15,0.005162558228605323,0.005239122454077006,tensor(0.0434),2639.8367961425784,2604.4417949218755,0.34278096404671665,0.33229331611096863,0.013365168705274275
20,0.005106050086518129,0.005182274337857962,tensor(0.0431),2639.8367961425784,2606.0252714843746,0.34278096404671665,0.335349294885993,0.012756117531803479
25,0.005067821333391799,0.005143191013485193,tensor(0.0428),2639.8367961425784,2614.2787836914063,0.3427809640467167,0.336197398006916,0.009636069762651349
30,0.005040116597794824,0.0051120628602802755,tensor(0.0426),2639.8367961425784,2613.569016601562,0.3427809640467167,0.33700033852458,0.009938583062477396
35,0.005019325048973163,0.00509136812761426,tensor(0.0428),2639.836796142578,2608.641337402344,0.34278096404671665,0.3366175346374512,0.011801676643830441
40,0.005002449846102132,0.005076111201196909,tensor(0.0426),2639.8367961425784,2610.4467587890626,0.34278096404671665,0.337523130685091,0.01113640378871732
45,0.004989435968713628,0.005062331724911928,tensor(0.0425),2639.8367961425784,2612.5440908203127,0.34278096404671665,0.3371567948013544,0.010312616996361105
50,0.004981865971866581,0.005053482484072447,tensor(0.0426),2639.8367961425784,2609.3786484375,0.3427809640467167,0.3369593388438225,0.011449478717213081
