Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.2681529939174652,0.18860683888196944,tensor(0.4189),2209.739805175781,1494.0210533447266,0.662770266905427,0.40607006482779984,0.32389596497430795
5,0.014602183341048658,0.013479019049555063,tensor(0.0653),2209.739805175781,1458.8756644287107,0.662770266905427,0.3918496307879686,0.33979850498580166
10,0.011633027577772737,0.011853591538965702,tensor(0.0474),2209.739805175781,1487.4474880371095,0.662770266905427,0.388246687233448,0.3268707716206619
15,0.011555894743651152,0.011789965163916349,tensor(0.0461),2209.739805175781,1495.0542243041994,0.662770266905427,0.38883513084053994,0.323428293244484
20,0.011480315076187252,0.011708751041442155,tensor(0.0473),2209.739805175781,1501.0764166259764,0.662770266905427,0.390246541544795,0.32070166040180526
25,0.011325598461553454,0.011546057183295488,tensor(0.0501),2209.739805175781,1495.6788068847657,0.662770266905427,0.39162747476994997,0.3231424246155842
30,0.011195489857345819,0.011426138132810593,tensor(0.0521),2209.739805175781,1481.3912425537108,0.662770266905427,0.3922408081293106,0.3296072373658956
35,0.01113766967318952,0.011373575683683157,tensor(0.0528),2209.739805175781,1474.0003120117187,0.662770266905427,0.39252063743770116,0.33295135020939326
40,0.011109389364719391,0.011347576044499874,tensor(0.0531),2209.739805175781,1470.3604865722655,0.662770266905427,0.3929499446451664,0.33459867310012126
45,0.011092105228453875,0.011330976244062185,tensor(0.0533),2209.739805175781,1467.7939267578124,0.662770266905427,0.39354296390712257,0.33576049765647775
50,0.011077451636083424,0.011317821498960257,tensor(0.0537),2209.739805175781,1468.976221435547,0.662770266905427,0.39406935815513133,0.33522586229302853
