Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.2700903467833996,0.2302625685930252,tensor(0.4645),2319.864190673828,1910.5703851318362,0.39439383933693173,0.34124637935310603,0.17638495631698803
2,0.008787348261103034,0.005997507367283106,tensor(0.0523),2319.864190673828,1846.2176674804687,0.39439383933693173,0.3357628000751138,0.20412870461091498
4,0.005451682931743562,0.005100423051044345,tensor(0.0398),2319.864190673828,1842.3013045654297,0.39439383933693173,0.33559171584248537,0.20581686316180958
6,0.005253052769694478,0.004972865851595998,tensor(0.0361),2319.864190673828,1844.157264038086,0.39439383933693173,0.33594168125838036,0.20501715795690406
8,0.005204192013479769,0.004937737574800849,tensor(0.0344),2319.864190673828,1848.181299560547,0.39439383933693173,0.3364631930440664,0.20328292155091016
10,0.005187166173709556,0.004924740316346288,tensor(0.0337),2319.864190673828,1853.1086361083985,0.39439383933693173,0.33704838654398916,0.20115927939615794
12,0.005179244244936853,0.004918049881234765,tensor(0.0333),2319.864190673828,1858.2111545410157,0.39439383933693173,0.33761939977854494,0.19896006074265127
14,0.005173963075503707,0.004913331894204021,tensor(0.0331),2319.864190673828,1863.4587429199219,0.39439383933693173,0.3381844190955162,0.19669815270131893
16,0.005169898935128004,0.004909648234024644,tensor(0.0331),2319.864190673828,1868.8857893066404,0.39439383933693173,0.33873680836707354,0.19435879848840515
18,0.0051663774298504,0.004906434006989003,tensor(0.0331),2319.864190673828,1874.0747103271485,0.39439383933693173,0.3392528262212872,0.1921220512531226
20,0.005163440736941994,0.004903809959068894,tensor(0.0331),2319.864190673828,1878.8896751708985,0.39439383933693173,0.33971270431578154,0.1900464757761778
22,0.005160955461906269,0.004901601281017065,tensor(0.0331),2319.864190673828,1883.1067797851563,0.39439383933693173,0.3401025967672468,0.18822859355315552
24,0.005158829083666205,0.004899697005748748,tensor(0.0332),2319.864190673828,1887.0591802978513,0.39439383933693173,0.3404595972076058,0.18652480654776765
26,0.005156963504850865,0.004898066818714142,tensor(0.0332),2319.864190673828,1890.6829974365235,0.39439383933693173,0.34078508173674343,0.1849626629741019
28,0.005155335902236402,0.004896634677425027,tensor(0.0333),2319.864190673828,1894.0139364013673,0.39439383933693173,0.3410764686912299,0.18352672000511205
30,0.005153871979564429,0.004895435646176338,tensor(0.0333),2319.864190673828,1896.663358520508,0.39439383933693173,0.3413130524083972,0.182384522013965
32,0.005152666545473039,0.004894406348466873,tensor(0.0333),2319.864190673828,1898.8987248535154,0.39439383933693173,0.3415059268921613,0.18142082385027
34,0.005151517293415964,0.004893513955175876,tensor(0.0334),2319.864190673828,1900.8679947509768,0.39439383933693173,0.34167437293380504,0.18057181597253277
36,0.005150532827246934,0.004892683215439319,tensor(0.0334),2319.864190673828,1902.576502075195,0.39439383933693173,0.3418190820589662,0.17983519201064394
38,0.005149529641494155,0.0048918998800218105,tensor(0.0334),2319.864190673828,1903.9676540527344,0.39439383933693173,0.34194671928882603,0.17923537286984126
40,0.005148661648854613,0.00489117419347167,tensor(0.0334),2319.864190673828,1905.0025958251954,0.39439383933693173,0.34204076703637837,0.1787890999625763
42,0.005147846729960293,0.004890535585582256,tensor(0.0334),2319.864190673828,1905.9038731689452,0.39439383933693173,0.34211702813953165,0.17840045741841098
44,0.005147079366724938,0.004889921937137842,tensor(0.0335),2319.864190673828,1906.6319313964843,0.39439383933693173,0.3421836245432496,0.17808650550454028
46,0.005146258650347591,0.0048892411403357984,tensor(0.0334),2319.864190673828,1907.144963745117,0.39439383933693173,0.34223095703124995,0.17786526147498055
48,0.005145549878943711,0.00488869990222156,tensor(0.0335),2319.864190673828,1907.666862060547,0.39439383933693173,0.3422895764857531,0.17764019058977293
50,0.005144763592397794,0.004888055985793472,tensor(0.0335),2319.864190673828,1908.00040222168,0.39439383933693173,0.34233075304329397,0.17749632619965916
