Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.059946433827281,0.06062862202525139,tensor(0.1590),2346.557553100586,230.74983714294436,0.3047218448072672,0.4386724157929421,0.901645416210853
5,0.01402004836127162,0.014250554889440537,tensor(0.0766),2346.557553100586,2162.642666503906,0.30472184480726716,0.31614599660038956,0.07837359079948783
10,0.013140228064730763,0.013295531179755926,tensor(0.0730),2346.557553100586,2192.070059204101,0.30472184480726716,0.31745342963188883,0.06584127430739414
15,0.01266538337804377,0.012778444867581128,tensor(0.0712),2346.5575531005857,2211.2009708251953,0.30472184480726716,0.3206220984011889,0.057671669541946025
20,0.01247371854260564,0.01256557833403349,tensor(0.0708),2346.557553100586,2220.8303540039065,0.30472184480726716,0.3232982383370399,0.05358342620517067
25,0.012400661036372185,0.012485756911337376,tensor(0.0702),2346.557553100586,2224.029647583008,0.3047218448072672,0.32414136134833094,0.05217823338635391
30,0.01235342719592154,0.012440996896475553,tensor(0.0705),2346.5575531005857,2223.2303173828127,0.3047218448072672,0.3247713955938816,0.05256246034505644
35,0.012322790268808604,0.012408883031457662,tensor(0.0698),2346.557553100586,2228.717387329102,0.30472184480726716,0.3248635613545775,0.05020493467606792
40,0.012296582688577473,0.012385687790811062,tensor(0.0695),2346.557553100586,2231.000146118164,0.30472184480726716,0.32486371546983717,0.0492368954365533
45,0.01226724514272064,0.012355628609657287,tensor(0.0697),2346.557553100586,2228.6043387451177,0.30472184480726716,0.3248925218880177,0.05024786523246803
50,0.012243511411361397,0.012330297008156776,tensor(0.0700),2346.5575531005857,2224.446159179687,0.3047218448072672,0.3252040323242545,0.05202950041222787
55,0.012214477662928403,0.012302175909280778,tensor(0.0697),2346.557553100586,2226.3215777587893,0.30472184480726716,0.32535424068570135,0.051231719879001825
60,0.012188717955723405,0.012276628334075213,tensor(0.0697),2346.557553100586,2226.323521118164,0.3047218448072672,0.32495026315003633,0.05123806424166433
65,0.012165054213255644,0.012256285455077887,tensor(0.0695),2346.557553100586,2229.0384309082033,0.30472184480726716,0.32514023142307996,0.05005634863885448
70,0.012143821315839886,0.012234803568571807,tensor(0.0696),2346.557553100586,2226.606351196289,0.30472184480726716,0.3253836567923426,0.05111089375173494
75,0.012123247236013412,0.012210388481616975,tensor(0.0694),2346.5575531005857,2226.221561645508,0.3047218448072672,0.32522693891078236,0.051270663304703756
80,0.012106827204115688,0.012192463129758834,tensor(0.0694),2346.557553100586,2225.1583044433596,0.3047218448072672,0.3253348541557789,0.0517372959524525
85,0.012086549471132458,0.01217517638579011,tensor(0.0695),2346.557553100586,2224.7249739990234,0.30472184480726716,0.325583540558815,0.05191456495481815
90,0.012069814489223063,0.012157892808318138,tensor(0.0693),2346.557553100586,2226.7470151367183,0.30472184480726716,0.3251657853424549,0.05105432976397475
95,0.01205333040561527,0.012142566684633493,tensor(0.0694),2346.5575531005857,2225.11691394043,0.30472184480726716,0.32520171897113326,0.05175526887921332
100,0.012038539350032806,0.012126819975674153,tensor(0.0692),2346.557553100586,2226.6711861572267,0.3047218448072672,0.3253704721778631,0.05108514323318638
