Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.052087705675512554,0.0714445486664772,tensor(0.1646),1341.9559102783203,797.4255709228516,0.40904190361499787,0.23991546837240457,0.4059194757081933
5,0.027777342591434717,0.02813492752611637,tensor(0.1228),1341.9559102783203,1168.3216264038088,0.40904190361499787,0.40067716752737753,0.1293726328622567
10,0.02269577677361667,0.022767854295670985,tensor(0.1080),1341.9559102783203,1196.9164020996095,0.40904190361499787,0.41028578694909806,0.1080558122299822
15,0.020148768695071338,0.01998067758977413,tensor(0.0993),1341.9559102783203,1209.5632946777343,0.40904190361499787,0.4112115543633699,0.09863529028313471
20,0.01902748616412282,0.018751374445855618,tensor(0.0944),1341.95591027832,1221.7985987548825,0.40904190361499787,0.4119197049438953,0.08953447950741807
