Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.24251120686531066,0.20496208518743514,tensor(0.4259),996.7513785095214,811.7950348510742,0.5472792621105909,0.4893412462472916,0.1853168137761318
5,0.030971034383401274,0.03087586406618357,tensor(0.1062),996.7513785095214,779.1019937438964,0.5472792621105909,0.46720826280117034,0.21814041355286667
10,0.029920439515262843,0.029935180395841598,tensor(0.1077),996.7513785095214,784.6259892883302,0.5472792621105909,0.4721131843924523,0.2125589374439852
15,0.028586451755836607,0.028630214929580688,tensor(0.1082),996.7513785095214,790.8631040344237,0.5472792621105909,0.4759983182996511,0.2062751107517698
20,0.026791964937001467,0.026803041622042657,tensor(0.1055),996.7513785095214,790.7747598266601,0.5472792621105909,0.4764397617876529,0.20637895472492582
25,0.025485388329252602,0.025592729449272156,tensor(0.1028),996.7513785095214,790.6285952758789,0.5472792621105909,0.4768278214484454,0.20653018460280542
30,0.024872203869745136,0.025146057084202766,tensor(0.1009),996.7513785095214,790.3919727783203,0.5472792621105909,0.4764027842879295,0.2067704255950716
35,0.024572205264121294,0.024980551563203335,tensor(0.1010),996.7513785095214,789.8055388793946,0.5472792621105909,0.47577590462565417,0.20735661504732575
40,0.024369062343612313,0.02480121161788702,tensor(0.0993),996.7513785095214,790.2570377502441,0.5472792621105909,0.4760052837133407,0.2069049668417579
45,0.024202357372269036,0.02472110968083143,tensor(0.0996),996.7513785095214,790.0538426208495,0.5472792621105909,0.4758505246341228,0.2071071841193651
50,0.024074156675487755,0.024638964794576168,tensor(0.0984),996.7513785095214,790.2518504638673,0.5472792621105909,0.47592614869773386,0.2069116404568064
