Epoch,Training loss,Test loss,MAE,GT_Thr(Mbps),Pre_Thr(Mbps),GT Jains Fairness,Pred Jains Fairness,Gap
0,0.6216382496058941,0.08548206016421318,tensor(0.2177),959.4275661010743,707.0842546997071,0.6079563631862401,0.47230986322462565,0.262987090126341
5,0.06128261648118496,0.06071238517761231,tensor(0.1509),959.427566101074,841.2603853149415,0.6079563631862401,0.5085388220250606,0.12295969864932507
10,0.060439284704625604,0.059941770136356355,tensor(0.1490),959.4275661010743,841.7333512573243,0.6079563631862401,0.5113879368603229,0.1225340629953607
15,0.058473631739616394,0.05407570227980614,tensor(0.1450),959.4275661010743,876.3897665710449,0.6079563631862401,0.5310915337353945,0.08647813625311582
20,0.03583354474976659,0.03541756644845009,tensor(0.1340),959.427566101074,889.2783961791993,0.6079563631862401,0.5677385633140802,0.0730965381509459
25,0.03433702494949102,0.034034987166523936,tensor(0.1326),959.4275661010743,888.1263574523925,0.6079563631862402,0.5693307679593562,0.07422105117547231
30,0.033575201081112026,0.03326921910047531,tensor(0.1304),959.4275661010743,890.3858939208985,0.6079563631862401,0.5764363718479871,0.07191164264448399
35,0.03306426159106195,0.032752639055252074,tensor(0.1293),959.4275661010743,890.3610827636718,0.6079563631862401,0.5795065021663903,0.07195995273152578
40,0.03273387704975903,0.03245222177356481,tensor(0.1282),959.4275661010745,891.887140258789,0.6079563631862401,0.5808118030577899,0.07027325478995967
45,0.03254909948445857,0.0322771355509758,tensor(0.1275),959.4275661010743,893.8450061035155,0.6079563631862402,0.5829014193117619,0.06835397609940547
50,0.03239638810046017,0.032143532484769824,tensor(0.1276),959.4275661010743,892.7839497070312,0.6079563631862402,0.5827273056954146,0.06941865455044752
55,0.032285451982170345,0.03205276913940906,tensor(0.1277),959.4275661010743,891.8050938110352,0.6079563631862401,0.5824074490368366,0.07035846140540133
60,0.03218951234593988,0.03195240143686533,tensor(0.1271),959.4275661010743,892.2952745361326,0.6079563631862401,0.5832258997112513,0.06980076065067332
65,0.032119462313130495,0.03188410606235266,tensor(0.1273),959.4275661010743,891.842019165039,0.6079563631862402,0.5825573010146617,0.0703749087255569
70,0.03205110081471503,0.03184097073972225,tensor(0.1275),959.4275661010743,890.8827741088868,0.6079563631862402,0.5823614917099477,0.07139724665172102
75,0.03199687274172902,0.03176211267709732,tensor(0.1270),959.4275661010743,892.1144791870116,0.6079563631862401,0.5830295288562775,0.07008926040797422
80,0.0319345498457551,0.03170579764991999,tensor(0.1268),959.4275661010743,892.0064508666992,0.6079563631862401,0.5833291727304459,0.07016660141509948
85,0.03189432974904775,0.03165571372956037,tensor(0.1265),959.4275661010743,892.5756264038085,0.6079563631862402,0.5834016947597265,0.06959390682096744
90,0.031847027130424976,0.031619120575487616,tensor(0.1261),959.4275661010743,893.1362297973634,0.6079563631862401,0.5845342509001493,0.06903064901158137
95,0.03181027751415968,0.03157463204115629,tensor(0.1259),959.427566101074,894.0522014770507,0.6079563631862401,0.5842424946725367,0.06812513500664165
100,0.031778604909777644,0.03154100496321917,tensor(0.1258),959.4275661010743,894.5525504150389,0.6079563631862402,0.5842482240647078,0.06755107036743029
